waterfall model,[9]
marketing documentation,[98]
direct diver doct coordinate module,"[94, 129]"
function cohesion,[80]
development life cycle ( sdlc ),[7]
n jornt application design ( jad ),[75]
life cycle model,[6]
requirement specification ( srs ),"[64, 77]"
risk acceptance,[55]
evaluation review technique ( pert ),[51]
actual time,[47]
available time,[47]
earliest start time,[47]
cost estimation,[43]
putnam estimation model,[41]
min calculate unadjusted function points,[35]
computer assisted software systern engineering ( cas ),[35]
value adjustment factor ( vaf ),[35]
point count,[34]
construction techniques,[314]
ind pa detail architecture,[309]
intelligent case tools,[308]
engineering environment,[306]
reverse engineering,[293]
belady and lehman model,[292]
boehm ' s model,[292]
full reuse model,[290]
taute ' s maintenance model,[290]
terative enhancement model,[290]
yau and collofello ' s model,[290]
cost of software maintenance,[288]
quality assurance ( sqa ),[271]
capability maturity model ( cmm ),"[271, 272]"
basic cxecution time model,[268]
calendar time,[267]
execution time,[267]
response for a class,[262]
elementary mental discriminators ( emd ),[257]
human engineering,[253]
bochm ' s software quality model,[252]
mccabe ' s cyclomatic comple mccall ' s model,[251]
gineering quality,[249]
public domain software,[23]
coverage analysis tools,[235]
capture / playback and test harness tools,[235]
business software,[22]
basis path testing,[215]
boundary value analysis,[210]
logarithmic poisson execution time model,[209]
dotted - u model,[204]
application development ( rad ) model,[19]
time box,[19]
processing systems,[199]
communication systems,[199]
subsystem analysis,[197]
meta model,[18]
model generator,[18]
the rapid application the spiral model,[17]
evolutionary software process model,[16]
ntal software development life cycle the incremental softwa model,[16]
core engineering work flows,[163]
rational unified process,[161]
facilitated application specification technique,[15]
evolutionary prototyping,[14]
rapid throwaway prototyping,[14]
the prototype model,[13]
object oriented requirement analysis,[139]
the v - model,[12]
action stubs,[124]
design language,[122]
time - value of money ( tvm ),[10]
operational feasibility,[10]
relationship model,[104]
structured analysis,[103]
