,Label,Link,FreqCount,Words
0,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Hardware', 55," ""'software'- 'system'- 'type organization'- 'personal computer'- 'computer'- 'calculator'- 'hardware'- 'organization'- 'small computer'- 'hardware introduction'- 'technology'- 'outside computer'"""
1,'Personal computer', 'https://en.wikipedia.org/wiki/Laptop', 122," ""'software'- 'operate watts electricity'- 'list computer'- 'personal computer'- 'traditional static computer'- 'mobile internet'- 'internet cloud'- 'available portable computer'- 'global america north net impact'- 'commercial hardware'- 'engineering'- 'netbook net short internet'- 'internet'- 'system'- 'laptop computer'- 'similar technology'- 'hardware'- 'terminal calculator'- 'introduced personal computer'- 'portable personal computer'- 'small portable personal computer'- 'technology'- 'special software'- 'portable computer'- 'october ibm personal computer'- 'computer'- 'hardware failure'- 'organization'- 'similar software'- 'laptops internet'- 'wayback machine'- 'special computer'- 'machine'- 'novena portal laptop computer'- 'calculator'- 'internet local network'- 'luggable computer'- 'traditional laptop computer'- 'financial software'"""
2,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types', 55," ""'software'- 'system'- 'type organization'- 'personal computer'- 'computer'- 'calculator'- 'hardware'- 'organization'- 'small computer'- 'hardware introduction'- 'technology'- 'outside computer'"""
3,'Personal computer', 'https://en.wikipedia.org/wiki/IBM_Personal_Computer', 297," ""'large computer'- 'software'- 'rome software'- 'personal computer'- 'late new personal computer'- 'storage computer'- 'nec new advanced personal computer'- 'late machine'- 'original ibm personal computer'- 'independent software'- 'microsoft personal software'- 'microsoft ibm personal computer'- 'rational software'- 'smart hardware'- 'vintage computer'- 'engineering'- 'compatible ibm personal computer'- 'early portable computer'- 'byibm personal computer'- 'original system'- 'important hardware'- 'system'- 'laptop computer'- 'new computer'- 'peachtree software'- 'basic personal computer'- 'hardware'- 'osborne computer'- 'open system'- 'entire computer'- 'ibm new personal computer'- 'portable personal computer'- 'periodical new computer'- 'compatible hardware'- 'portable machine'- 'new personal computer'- 'technology'- 'hardware make'- 'handful computer'- 'due system'- 'convertible ibm personal computer'- 'portable computer'- 'special hardware'- 'update system'- 'october ibm personal computer'- 'sophisticated technology'- 'ibm personal computer'- 'computer'- 'little available hardware'- 'organization'- 'linux technology'- 'basic system'- 'first commercial computer'- 'write software'- 'inexpensive software'- 'obsolete technology'- 'wayback machine'- 'special computer'- 'machine'- 'vast hardware'- 'sophisticated personal computer'- 'european computer'- 'mainframe computer'- 'complete computer'- 'new machine'- 'enter computer'- 'major software'- 'several computer'- 'introduce personal computer'- 'bubble technology'- 'reverse engineering'- 'hardware product'- 'large technology'- 'related ibm personal computer'- 'compatible computer'- 'ibm computer'- 'physical computer'"""
4,'Computer hardware', 'http://www.fixingmycomputer.com/computer-hardware-equipment.html', 57," ""'software'- 'system'- 'new computer'- 'computer'- 'basic internet'- 'hardware'- 'right machine'- 'unbalanced machine'- 'car'- 'eagle computer'- 'low computer'- 'want computer'- 'hardware equipment'- 'build system'- 'cheap computer'"""
5,'Computer hardware', 'https://www.academia.edu/8849269/A_computer_is_an_electronic_device_that_processes_data_by_following_a_set_of_instructions', 4," ""'computer'"""
6,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Introduction_to_Motherboard', 55," ""'software'- 'system'- 'type organization'- 'personal computer'- 'computer'- 'calculator'- 'hardware'- 'organization'- 'small computer'- 'hardware introduction'- 'technology'- 'outside computer'"""
7,'Personal computer', 'https://en.wikipedia.org/wiki/Personal_digital_assistant', 60," ""'touchscreen technology'- 'automobile navigation'- 'internet'- 'software'- 'system'- 'personal computer'- 'computer'- 'package'- 'material internet'- 'medical calculator'- 'proprietary software'- 'new handheld computer'- 'terminal calculator'- 'calculator'- 'organization'- 'infrared technology'- 'pdas automobile navigation'- 'technology'- 'able connect internet'"""
8,'Computer hardware', 'https://en.wikipedia.org/wiki/Computer_hardware', 156," ""'software'- 'main computer'- 'personal computer'- 'modern personal computer'- 'electronic digital computer'- 'much personal computer'- 'specific technology'- 'system'- 'mathematical software'- 'particular hardware'- 'hardware'- 'ram computer'- 'embedded system'- 'library software'- 'unauthorized computer'- 'technology'- 'internal external computer'- 'specializes computer'- 'basic hardware'- 'computer'- 'portal computer'- 'organization'- 'new hardware'- 'international organization'- 'hardware upgrade edit'- 'computational engineering'- 'glossary computer'- 'mean computer'- 'toxic computer'- 'machine'- 'standard common many computer'- 'mainframe computer'- 'scheme'- 'electronic hardware'- 'virtual machine'- 'educational technology'- 'old computer'- 'last computer'"""
9,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Ports', 55," ""'software'- 'system'- 'type organization'- 'personal computer'- 'computer'- 'calculator'- 'hardware'- 'organization'- 'small computer'- 'hardware introduction'- 'technology'- 'outside computer'"""
10,'Personal computer', 'https://en.wikipedia.org/wiki/List_of_home_computers_by_video_hardware', 225," ""'software'- 'sprite system'- 'rare system'- 'personal computer'- 'capable hardware'- 'due special software'- 'video hardware'- 'hardware wikipedia free encyclopedia'- 'descendant computer'- 'available hardware'- 'possible ntsc machine'- 'hardware explanation'- 'included system'- 'possible software'- 'dai personal computer'- 'specific machine'- 'first personal computer'- 'initiated system'- 'original system'- 'different system'- 'large software'- 'single machine'- 'system'- 'available font system'- 'compatible machine'- 'hardware'- 'similar hardware'- 'short hardware'- 'technology'- 'special software'- 'special hardware'- 'much software'- 'unique system'- 'hardware create'- 'computer'- 'engine'- 'famous first system'- 'organization'- 'possible pal machine'- 'basic system'- 'actual hardware'- 'invisible hardware'- 'machine'- 'type organization'- 'hardware edit'- 'arrangement'- 'hardware emulate'- 'scheme'- 'canonical system'- 'similar scheme'- 'mos technology'- 'complex system'- 'hardware url https'- 'vlsi technology'"""
11,'Personal computer', 'https://en.wikipedia.org/wiki/List_of_home_computers_by_video_hardware#Explanation_of_the_terms_used_in_the_tables', 225," ""'software'- 'sprite system'- 'rare system'- 'personal computer'- 'capable hardware'- 'due special software'- 'video hardware'- 'hardware wikipedia free encyclopedia'- 'descendant computer'- 'available hardware'- 'possible ntsc machine'- 'hardware explanation'- 'included system'- 'possible software'- 'dai personal computer'- 'specific machine'- 'first personal computer'- 'initiated system'- 'original system'- 'different system'- 'large software'- 'single machine'- 'system'- 'available font system'- 'compatible machine'- 'hardware'- 'similar hardware'- 'short hardware'- 'technology'- 'special software'- 'special hardware'- 'much software'- 'unique system'- 'hardware create'- 'computer'- 'engine'- 'famous first system'- 'organization'- 'possible pal machine'- 'basic system'- 'actual hardware'- 'invisible hardware'- 'machine'- 'type organization'- 'hardware edit'- 'arrangement'- 'hardware emulate'- 'scheme'- 'canonical system'- 'similar scheme'- 'mos technology'- 'complex system'- 'hardware url https'- 'vlsi technology'"""
12,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Slots', 55," ""'software'- 'system'- 'type organization'- 'personal computer'- 'computer'- 'calculator'- 'hardware'- 'organization'- 'small computer'- 'hardware introduction'- 'technology'- 'outside computer'"""
13,'Personal computer', 'https://en.wikipedia.org/wiki/Personal_Computer_Museum', 29," ""'system'- 'personal computer'- 'computer'- 'huge archive computer'- 'organization'- 'retro computer'- 'edit personal computer'- 'old computer'- 'canadapersonal computer'- 'original software'- 'technology'- 'ontario computer'"""
14,'Personal computer', 'https://en.wikipedia.org/wiki/Digital_electronic_computer', 31," ""'hardware list'- 'internet'- 'system'- 'programmable computer'- 'computer'- 'organization'- 'digital computer'- 'decimal system'- 'electronic computer'- 'digital electronic computer'- 'machine'- 'technology'"""
15,'Personal computer', 'https://en.wikipedia.org/wiki/List_of_home_computers_by_video_hardware#The_importance_of_having_capable_video_hardware', 225," ""'software'- 'sprite system'- 'rare system'- 'personal computer'- 'capable hardware'- 'due special software'- 'video hardware'- 'hardware wikipedia free encyclopedia'- 'descendant computer'- 'available hardware'- 'possible ntsc machine'- 'hardware explanation'- 'included system'- 'possible software'- 'dai personal computer'- 'specific machine'- 'first personal computer'- 'initiated system'- 'original system'- 'different system'- 'large software'- 'single machine'- 'system'- 'available font system'- 'compatible machine'- 'hardware'- 'similar hardware'- 'short hardware'- 'technology'- 'special software'- 'special hardware'- 'much software'- 'unique system'- 'hardware create'- 'computer'- 'engine'- 'famous first system'- 'organization'- 'possible pal machine'- 'basic system'- 'actual hardware'- 'invisible hardware'- 'machine'- 'type organization'- 'hardware edit'- 'arrangement'- 'hardware emulate'- 'scheme'- 'canonical system'- 'similar scheme'- 'mos technology'- 'complex system'- 'hardware url https'- 'vlsi technology'"""
