,Label,Link,FreqCount,Words
0,'Performance', 'http://pubs.rsc.org/en/content/articlelanding/2018/nr/c8nr05420g', 0, ''
1,'Music venue', 'https://www.halcyon-sf.com/one-of-a-kind-electronic-music-venue-halcyon-adds-new-energy-to-sf-nightlife/', 4," ""'system'- 'technology'- 'car'"""
2,'Music venue', 'https://www.gpsmycity.com/directory/electronic-music-venues-1156.html', 1," ""'technology'"""
3,'Concert', 'http://www.bethkanter.org/qr-codes-electronic-devicesnonprofits-and-concert-etiquette/', 3," ""'new technology'- 'technology'"""
4,'Performance', 'https://www.quora.com/How-do-the-electronic-devices-enhance-the-performance-of-mechanical-devices-that-are-used-in-power-generation', 17," ""'important important auto'- 'width auto'- 'fafafa auto'- 'system'- 'engine'- 'height auto'- 'relative auto'- 'auto'- 'important auto'- 'internet connection'- 'engineering'- 'scroll auto'"""
5,'Event', 'https://10times.com/electronics-electricals', 55," ""'medical pharma technology'- 'important important solid important computer'- 'computer'- 'engineering'- 'international hardware'- 'technology'- 'electrical engineering'- 'electric engineering'- 'hardware'- 'tags computer'- 'software'- 'electrical computer'- 'electricity'- 'industrial engineering'"""
6,'Concert', 'https://insideoutconcerts.com/', 1," ""'electricity'"""
7,'Event', 'https://www.technicaltextile.net/events/machinery-equipment/', 1," ""'auto'"""
8,'Event', 'https://www.electronics-project-design.com/electronics-events.html', 0, ''
9,'Performance', 'https://performancemachineryllc.com/', 9," ""'auto'- 'eagle technology'- 'ingersoll technology'"""
10,'Music venue', 'https://www.gearank.com/articles/live-music-gear', 16," ""'system'- 'sound technology'- 'computer'- 'technology'- 'software'- 'regular car'"""
11,'Event', 'http://eventmanagement.com/planning/equipment/', 4," ""'electricity'- 'internet access'- 'software'- 'organization'"""
12,'Concert', 'https://www.alamy.com/concert-crowd-using-technology-including-mobile-phones-cell-phones-image67331466.html', 3," ""'auto'- 'internet'- 'engine'"""
13,'Music venue', 'https://www.signix.com/blog/how-esignatures-help-music-artists-and-venues', 19," ""'system'- 'technology'- 'computer'- 'software'- 'long internet access'"""
14,'Concert', 'https://www.istockphoto.com/vector/live-streaming-concert-with-electronic-devices-gm942580682-257593021', 3," ""'internet'- 'technology'"""
15,'Music venue', 'https://www.gearank.com/articles/live-music-gear#Lighting', 16," ""'system'- 'sound technology'- 'computer'- 'technology'- 'software'- 'regular car'"""
16,'Music venue', 'https://www.gearank.com/articles/live-music-gear#PASpeakers', 16," ""'system'- 'sound technology'- 'computer'- 'technology'- 'software'- 'regular car'"""
17,'Concert', 'https://live.stanford.edu/plan-your-visit/electronic-devices', 0, ''
18,'Event', 'https://10times.com/top100/plants-machinery', 39," ""'computer'- 'thailandbangkok auto'- 'polandsosnowiec industrial automotive engineering'- 'indialudhiana auto'- 'thailandbangkok industrial engineering'- 'chinaguangzhou auto'- 'chinashanghai auto'- 'machine'- 'delhi industrial toolex international fair machine'- 'indiachennai auto'- 'industrial international machine'- 'vietnamhanoi auto'- 'industrial engineering'- 'auto'- 'technology'- 'japankoto industrial machine'- 'engineering'- 'indianew delhi auto'- 'indiahyderabad industrial engineering'- 'sep chinashanghai industrial engineering'- 'cnc machine'- 'africajohannesburg auto'- 'south koreadaegu auto'- 'indonesiajakarta industrial engineering'- 'international machine'"""
19,'Performance', 'https://www.sciencedirect.com/science/article/pii/S0927796X00000280', 0, ''
20,'Performance', 'https://pediatrics.aappublications.org/content/141/1_MeetingAbstract/230', 11," ""'technology'- 'computer'- 'overall weekday technology'"""
21,'Event', 'https://www.gevme.com/blog/what-equipment-do-you-need-for-a-successful-event/', 16," ""'traditional technology'- 'system'- 'technology'- 'pa system'- 'software'"""
22,'Music venue', 'https://www.gearank.com/articles/live-music-gear#pa-system', 16," ""'system'- 'sound technology'- 'computer'- 'technology'- 'software'- 'regular car'"""
23,'Event', 'https://10times.com/mumbai-in/electronics-electricals/tradeshows', 16," ""'computer'- 'auto'- 'technology'- 'electrical system'- 'mumbai auto'- 'tags computer'- 'automotive computer'- 'industrial engineering'"""
24,'Performance', 'https://ieeexplore.ieee.org/document/7981147/', 12," ""'system'- 'technology'- 'organization'- 'scheme'- 'technical professional organization'- 'synchronous machine'- 'standard package'- 'electronic electrical engineering'"""
25,'Music venue', 'https://en.wikipedia.org/wiki/Sound_reinforcement_system', 113," ""'expensive system'- 'system'- 'arrangement'- 'computer'- 'auto'- 'technology'- 'reinforcement system'- 'audio system'- 'car'- 'wayback machine'- 'electrical engineering'- 'organization'- 'audio engineering'- 'hardware'- 'siap system'- 'similar possible system'- 'software'- 'new system'- 'sound system'- 'engineering'- 'objective system'"""
26,'Concert', 'https://onstagesystems.com/news/sound-equipment-needed-concert/', 3," ""'system'- 'technology'"""
27,'Event', 'http://www.leoisaac.com/evt/top547.htm', 2," ""'computer'- 'manual software'"""
28,'Event', 'https://eventguide.engineering.asu.edu/planning-process/equipment/', 2," ""'engineering'"""
29,'Music venue', 'https://www.gearank.com/articles/live-music-gear#Stage-Gear', 16," ""'system'- 'sound technology'- 'computer'- 'technology'- 'software'- 'regular car'"""
30,'Performance', 'http://www.highperformancemachinery.com/', 11," ""'system'- 'machine'- 'engineering'- 'technology'"""
31,'Performance', 'http://permach.com/', 7," ""'specific machine'- 'machine'"""
32,'Event', 'https://www.tradeindia.com/TradeShows/Machinery/', 0, ''
